Code_Station;Emplacement
FR50004;Toulouse
FR50021;Toulouse
FR50030;Toulouse
FR50039;Toulouse
FR50040;Toulouse
FR50048;Toulouse
FR50054;Toulouse
FR50821;Toulouse
FR50016;ST Gaudens
FR50031;Belesta
FR50041;Montgiscard
FR50043;Blagnac
FR50044;Blagnac
FR50058;Station p‚dagogique
FR50042;Lourdes
FR50052;Argeles-Gazost
FR50200;Montpellier
FR50201;Montpellier
FR50202;Montpellier
FR50203;Montpellier
FR50204;Montpellier
FR50205;Montpellier
FR50225;Montpellier
FR50227;Montpellier
FR50206;Lunel
FR50209;Biterrois
FR50210;Agathois
FR50206;B‚ziers
FR50220;Perpignan
FR50224;Perpignan
FR50221;Saint EstŠve
FR50026;Albi
FR50053;Castres
FR50060;Montauban
FR50833;Auch
FR50020;Peyrusse
FR50029;Gaudonville
FR50211;Nimes
FR50212;Nimes
FR50801;Ales
FR50213;La Calmette
FR50216;Saze
