Averyron;Tarn-et garonne;Hautes-Pyr?n?es;Pyr?n?es-Orientales;Tarn;H?rlaut;Lot;Loz?re;Gers;Gard;Ari?ge;Aude;Haute-Garonne
200067171;248200099;200069300;200027183;248100737;243400017;200023737;244800405;200066926;243000643;200067791;241100593;243100518
241200807;200066652;200072106;200043602;248100430;200066355;200066371;200069185;200023620;200066918;200066231;200035715;200068641
200067478;200066322;200070787;246600282;200066124;243400769;200067361;244800470;243200391;200034692;200067940;200035863;243100633
241200641;200066884;246500482;200070365;200040905;243400819;244600433;200069268;243200417;243000585;240900464;200071926;200072643
241200914;248200057;200070811;200049211;200034023;243400470;244600482;200069151;243200458;200034379;200066223;200035855;243100781
241200765;248200016;200070803;246600373;248100158;243400520;244600532;200069128;200034726;243000593;200044469;200035707;200071298
241200567;200067122;200070829;246600449;200034056;200022986;200039519;200006930;200072320;243000569;240900431;200043776;200068815
200067064;248200065;200070795;246600415;200066561;243400694;200035327;200069102;200042372;243000684;200066363;200042463;200071314
200068484;200040418;246500573;246600548;200034049;243400355;244600573;200069136;243200599;243000296;;243100567;200068807
241200658;248200107;246401756;246600399;200066553;243400488;200069383;200069144;243200409;200034411;;200070365;200066819
241200625;;;246600464;200034031;200071058;;241200567;243200425;243000650;;;200034957
241200674;;;246600423;248100497;200042646;;;200035756;200035129;;;243100567
241200542;;;;248100745;200042653;;;243200508;243000270;;;243100732
200067361;;;;200034064;200066348;;;243200607;200034601;;;243100815
241200906;;;;248200107;200017341;;;200035632;248400251;;;200073146
200067163;;;;243100567;243400736;;;200030435;243400736;;;243100773
200068831;;;;;200066553;;;248200016;200069128;;;200072635
200067155;;;;;;;;;;;;200023620
200069383;;;;;;;;;;;;200034023
241200187;;;;;;;;;;;;
