code_dep,lib_dep,version,annee_inv,nox_kg,so2_kg,pm10_kg,pm25_kg,co_kg,c6h6_kg,covnm_kg,nh3_kg,as_kg,cd_kg,ni_kg,pb_kg,bap_kg,ESRI_OID,Shape__Area,Shape__Length
30,GARD,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,13001369,1760026,2643645,1948630,27142832,457429,9426572,1202152,55,45,1640,1509,67,1,5874948462.84961,713057.700118484
65,HAUTES-PYRENEES,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,3596657,610728,1721445,1286830,13640605,292726,3843622,2644448,35,9,40,326,40,2,4528533287.75391,567585.529340472
66,PYRENEES-ORIENTALES,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,5743673,231070,1688471,1385860,18614077,369928,5337872,497628,25,4,32,606,53,3,4148584414.66748,470401.297662904
11,AUDE,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,9530737,365592,1969659,1310716,19287785,280831,4503881,1759315,26,3,26,477,42,4,6352026452.21729,605838.008527851
46,LOT,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,3731809,233630,1520024,1152957,11684054,243161,3603647,3512943,17,3,178,269,34,5,5221866387.6272,532434.489001121
32,GERS,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,4862203,141238,3072904,1447231,13315465,293405,3537545,5815388,16,2,18,271,41,6,6303412415.47388,620373.921395889
81,TARN,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,5616691,531005,2756136,1998339,20948325,463961,6165701,4773660,71,10,54,877,64,7,5784711106.27661,545138.715961608
34,HERAULT,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,15811757,536061,3202013,2446935,34455530,561283,12149297,1148538,80,7,55,1392,84,8,6232262350.29517,613105.762883631
48,LOZERE,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,1862334,113482,399773,285529,3819579,61596,1061542,2504759,6,1,6,130,9,9,5171791304.41748,469447.354734135
31,HAUTE-GARONNE,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,20092866,943490,6242594,4584210,53003907,938503,15722712,4293184,92,21,132,2238,136,10,6365338813.62915,913878.594020568
12,AVEYRON,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,5814064,160035,1859635,1408701,14485607,291473,4643508,9857012,19,4,21,348,42,11,8770163965.0376,696408.109041452
09,ARIEGE,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,2247769,94940,1235599,981316,10622289,237880,2710567,1786037,13,5,15,231,32,12,4921025954.95483,561049.065621339
82,TARN-ET-GARONNE,Inventaire des émissions - Atmo Occitanie - ATMO_IRS_V5,2010,4844484,194078,2181366,1444743,14423029,293234,3740206,2607933,20,3,22,342,41,13,3730800790.02734,620067.456428499
